Name,X,Y,Type,Error
7089222501_b,570954.8275,296365.6586,head,5.0
1089192101_b,575025.874,304202.106,head,5.0
2089103101_b,586985.0743,304340.3521,head,5.0
3089103201_b,586962.2041,304370.977,head,5.0
2089475301_b,536391.8551,305263.7315,head,5.0
0089440001_b,539825.2391,322991.5165,head,5.0
1089460101_b,538873.0717,321588.5924,head,5.0
5088552601_b,607127.0219,326258.6909,head,5.0
4089114801_b,585024.3944,327520.9375,head,5.0
2089204601_b,572771.7724,347111.0465,head,5.0
6089275601_b,563079.3711,354863.4872,head,5.0
4089100701_b,587133.4097,355449.5297,head,5.0
4089471201_b,537188.6429999999,355302.0076,head,5.0
1089365001_b,551098.8007,365822.4873,head,5.0
5089184801_b,575138.0904,369547.6689,head,5.0
0089481301_g,535950.9182,300882.3975,head,10.0
7088590201_g,602564.2402,301889.5356,head,10.0
0088561001_g,606437.9219,302647.3271,head,10.0
6089470201_g,537550.0744,302305.2955,head,10.0
6089414401_g,544726.3092,302636.1036,head,10.0
6088593801_g,601707.1422,303699.4157,head,10.0
7088563401_g,605877.8956,304090.269,head,10.0
7088565901_g,605267.2773,307784.8294,head,10.0
7089483001_g,535551.8257,307575.3014,head,10.0
2089433401_g,542217.837,310524.3684,head,10.0
6088541201_g,608981.6488,311812.5929,head,10.0
3089460301_g,538834.7638,319182.3355,head,10.0
3089215301_g,571438.3446,324904.7516,head,10.0
6089423701_g,543452.0199,325150.4946,head,10.0
2089432801_g,542300.1006,326565.61699999997,head,10.0
8089162501_g,578788.8214,328204.0754,head,10.0
6089235301_g,568654.2565,339465.7657,head,10.0
3089270501_g,564305.7443,342130.0595,head,10.0
9089510601_g,531946.0624,356678.7864,head,10.0
1088585501_g,602114.5702,357301.3599,head,10.0
8210891935_f,574771.9467,296487.8264,head,25.0
5089204601_f,573167.0531,296598.50899999996,head,25.0
2089234101_f,569212.2115,296784.7293,head,25.0
0088575601_f,604110.0969,297373.3086,head,25.0
2088560501_f,606616.6812,297466.4634,head,25.0
4089223102_f,570790.7192,297166.4974,head,25.0
8480892143_f,571760.8427,297328.0419,head,25.0
5089223401_f,570790.7192,297166.4974,head,25.0
4089095201_f,587929.095,297932.9283,head,25.0
4089215501_f,571599.2223,297789.5468,head,25.0
9089313401_f,558611.3199,297857.7448,head,25.0
8089251801_f,567011.2491,298188.2056,head,25.0
6089461001_f,538734.7603,298298.3384,head,25.0
0089015001_f,599010.782,298762.1752,head,25.0
1089254001_f,566509.5408,298894.2713,head,25.0
4088542001_f,527532.7701,298801.1643,head,25.0
4089231501_f,569783.3122,299009.9701,head,25.0
0089040601_f,595724.7778,299742.874,head,25.0
4089033701_f,596378.2364,299873.5815,head,25.0
9089352101_f,553385.0251,299680.9427,head,25.0
6089473001_f,536924.2465,299835.9472,head,25.0
4089502001_f,533085.4489,300074.2752,head,25.0
0089474001_f,536697.4024,300267.2474,head,25.0
6088475301_f,617679.872,301133.6161,head,25.0
7089494001_f,533987.7225,300477.0769,head,25.0
5089151601_f,580583.4071,300979.3197,head,25.0
1089352101_f,553378.6787,300976.5173,head,25.0
1089481401_f,535928.3408,300882.3446,head,25.0
2089002001_f,600808.9767,301405.6582,head,25.0
0520890023_f,600741.2469,301404.8541,head,25.0
3089123901_f,584125.5141,301258.6152,head,25.0
3089123902_f,584125.5141,301258.6152,head,25.0
3089352801_f,553220.3499,301037.4344,head,25.0
8089244901_f,567644.6256,301277.4494,head,25.0
0089012801_f,599270.981,301634.3584,head,25.0
7089124401_f,584008.577,301689.4079,head,25.0
1089480401_f,536152.5528,301530.6614,head,25.0
3088590801_f,602422.8172,302381.4462,head,25.0
3089091601_f,588698.9431,302228.8127,head,25.0
4088592201_f,602106.4328,302408.4637,head,25.0
4088594201_f,601654.9902,302403.0235,head,25.0
0089265201_f,564884.0282,302245.8316,head,25.0
3089492801_f,534255.0219,302205.0549,head,25.0
6089133001_f,582961.9113,302574.2662,head,25.0
7089133001_f,582961.6257,302605.1133,head,25.0
4088503401_f,614011.7106,303488.418,head,25.0
5088492101_f,615658.8219,303542.2777,head,25.0
5088533101_f,610016.5809,303465.1328,head,25.0
7089502601_f,532944.5229,302942.7664,head,25.0
4088582601_f,603355.3498,303657.7514,head,25.0
1088514301_f,612447.315,303991.4382,head,25.0
1089474101_f,536667.1888,303382.7228,head,25.0
4088544601_f,608316.2981,304028.9975,head,25.0
5088542601_f,608767.2361,304065.7342,head,25.0
0088563401_f,605876.7266,304182.8099,head,25.0
4089085001_f,589263.5136,304424.9154,head,25.0
6089470201_f,537545.2982,304156.1069,head,25.0
1088551301_f,607696.2497,304853.9758,head,25.0
3088555101_f,606815.4571,304904.355,head,25.0
7088592201_f,602075.5359,304968.776,head,25.0
9088590701_f,602391.8014,304941.7586,head,25.0
6088521401_f,611729.0019,305370.0774,head,25.0
6088592701_f,601959.3634,305245.0372,head,25.0
7089105301_f,586481.1043,305106.6502,head,25.0
7089201401_f,573665.8921,304962.4626,head,25.0
1089053201_f,593699.7728,305304.5915,head,25.0
8088575301_f,604075.6789,305641.1559,head,25.0
3090890035_f,600420.36,305627.6987,head,25.0
2088544701_f,608270.4978,305817.846,head,25.0
3150885529_f,607321.748,305898.1264,head,25.0
6088475101_f,617654.1249,306069.8291,head,25.0
3160892257_f,570141.1434,305614.2236,head,25.0
7089113001_f,585637.3626,306023.9363,head,25.0
3310892126_f,572191.0412,306030.6897,head,25.0
5089183001_f,576157.8422,306494.2038,head,25.0
6088572801_f,604625.1113,306820.3648,head,25.0
7088503401_f,613959.2415,307282.6411,head,25.0
9088503401_f,613958.3879999999,307344.3329,head,25.0
3088531801_f,610257.5329999999,307417.4826,head,25.0
4120890023_f,600668.029,307574.2909,head,25.0
4088543301_f,608561.4226,307734.4959,head,25.0
7088530901_f,610454.7779,307852.0512,head,25.0
4088474201_f,617826.9571,308170.3793,head,25.0
8088565001_f,605462.1164,308435.1804,head,25.0
0088473701_f,617932.6032,308665.5648,head,25.0
5088545801_f,607985.1625,308683.4267,head,25.0
7088484101_f,616486.2086,308860.8054,head,25.0
7088580801_f,603699.6262,308690.8564,head,25.0
0089202101_f,573593.2785,308447.8428,head,25.0
8089120501_f,584820.9959,308823.4442,head,25.0
1089300101_f,560556.6645,308727.6648,head,25.0
2089200501_f,573996.0044,308852.0696,head,25.0
0089014501_f,598843.8862,311193.3406,head,25.0
1089135201_f,582404.4456,309201.8134,head,25.0
5089230901_f,569843.9397,309221.3632,head,25.0
8089193301_f,574713.6054,309351.4039,head,25.0
9088522301_f,611466.5085,309778.5211,head,25.0
2088541101_f,609030.1137,309838.6316,head,25.0
5088532501_f,610066.0746,309944.8815,head,25.0
5089075501_f,590449.8638,309712.5706,head,25.0
8089070201_f,591643.8978,309817.64,head,25.0
2088591301_f,602145.9683,310337.8632,head,25.0
6089200401_f,574007.7451,310209.5346,head,25.0
6089202101_f,573624.4802,310206.4957,head,25.0
8088550001_f,607914.877,310626.2446,head,25.0
0088575801_f,603901.105,310637.0469,head,25.0
3088553801_f,607056.1861,310769.4184,head,25.0
5089461701_f,538543.907,310297.3783,head,25.0
8088475801_f,617424.4565,311064.8786,head,25.0
8088560601_f,606422.9709,310915.5764,head,25.0
0089434101_f,542060.2331,310462.1554,head,25.0
3088500201_f,614626.8357,311179.4887,head,25.0
3089081301_f,590031.9049,310880.5683,head,25.0
6040890904_f,588881.8769,310899.6338,head,25.0
2089445301_f,540435.993,310827.2244,head,25.0
4088555501_f,606664.6465,311412.3107,head,25.0
9089210101_f,572714.7628,311217.393,head,25.0
6088541202_f,608981.6488,311812.5929,head,25.0
6089433201_f,542260.4886,311264.853,head,25.0
6089433202_f,542260.4886,311264.853,head,25.0
3088542001_f,608775.9562,312025.8693,head,25.0
9088502901_f,614002.7639,312281.5414,head,25.0
0088503201_f,613934.7131,312311.451,head,25.0
4089455101_f,539124.9057,312118.9976,head,25.0
6088522101_f,611471.2289,312771.3787,head,25.0
8089193601_f,574621.1132,312435.6002,head,25.0
3089431801_f,542572.2557,312407.2515,head,25.0
7089024201_f,597467.6945,313244.5362,head,25.0
8088524801_f,610853.5943,313441.8358,head,25.0
7088510901_f,613080.8272,313749.79,head,25.0
7089033901_f,596179.6825,313538.4392,head,25.0
8089013801_f,598906.04,313600.5121,head,25.0
2088504201_f,613687.1393,313912.4271,head,25.0
6089375701_f,549802.1166,313453.2223,head,25.0
8089212401_f,572177.541,313650.325,head,25.0
8089365901_f,551108.7765,313520.8055,head,25.0
