Name,X,Y,zone,initialK
kpkpx_tc3,1985516.722,1203426.934,15,5.72076
kpkpx_tc4,2012516.722,1203426.934,15,3.541445
kpkpx_tc7,1958516.722,1176426.934,15,5.942886
kpkpx_tc8,1985516.722,1176426.934,15,2.298416
kpkpx_tc9,2012516.722,1176426.934,15,3.90526
kpkpx_tc10,1904808.462,1142425.164,15,2.511597
kpkpx_tc11,1936184.562,1156136.954,15,3.093313
kpkpx_tc12,1958808.462,1149426.934,15,2.730741
kpkpx_tc13,1985516.722,1149426.934,15,4.449415
kpkpx_tc14,2012516.722,1149426.934,15,5.119317
kpkpx_tc15,1904516.722,1122426.934,15,3.711197
kpkpx_tc16,1931516.722,1122426.934,15,2.812228
kpkpx_tc17,1958516.722,1122426.934,15,2.58363
kpkpx_tc18,1985516.722,1122426.934,15,4.787919
kpkpx_tc19,2012516.722,1122426.934,15,5.737146
kpkpx_tc20,1877516.722,1095718.674,15,1.22828
kpkpx_tc21,1904808.462,1092509.534,15,2.04378
kpkpx_tc22,1931516.722,1095426.934,15,2.020669
kpkpx_tc23,1958516.722,1095426.934,15,2.611795
kpkpx_tc24,1985516.722,1095426.934,15,4.605318
kpkpx_tc25,2012516.722,1095426.934,15,4.186175
kpkpx_tc27,1877516.722,1068426.934,15,1.06997
kpkpx_tc28,1904516.722,1068426.934,15,3.518603
kpkpx_tc29,1931516.722,1068426.934,15,2.802091
kpkpx_tc30,1958516.722,1068135.194,15,2.34108
kpkpx_tc31,1985516.722,1068426.934,15,6.44118
kpkpx_tc32,2012557.152,1068426.934,15,3.352459
kpkpx_tc33,1816223.222,1036759.094,15,2.263311
kpkpx_tc34,1850516.722,1041426.934,15,2.134433
kpkpx_tc35,1877516.722,1041426.934,15,0.8336871
kpkpx_tc36,1904516.722,1041426.934,15,1.433078
kpkpx_tc37,1931516.722,1041426.934,15,3.335963
kpkpx_tc38,1958516.722,1041426.934,15,3.788372
kpkpx_tc39,1985516.722,1041426.934,15,4.378338
kpkpx_tc40,2012516.722,1041426.934,15,2.073254
